STT,Summary name,Description,Steps to reproduce,Data,Expected Result,Mô tả lỗi,Hình ảnh/Flow lỗi(nếu có),GG Drive ,Priority,MT,Status,ReOpen,Ngày tạo,Hoàn thành,Ghi chú,Người tạo,Người sửa,Reply
64,Dropdown quyền truy cập trong luồng “Bất kỳ ai có đường liên kết” không reset về trạng thái mặc định sau khi thay đổi luồng chia sẻ ở phiên làm việc tiếp theo,"Khi thay đổi luồng chia sẻ giữa “Bất kỳ ai có đường liên kết” và “Hạn chế” qua nhiều lần mở modal chia sẻ khác nhau, dropdown quyền truy cập chung không được reset về trạng thái mặc định","1. Mở modal Chia sẻ của một folder/file
2. Chọn “Bất kỳ ai có đường liên kết” → đổi quyền trong dropdown thành “Người chỉnh sửa” → nhấn Xong
3. Mở lại modal → chuyển luồng chia sẻ sang “Hạn chế” → nhấn Xong
4. Mở lại modal lần nữa → chuyển lại “Bất kỳ ai có đường liên kết”
5. Quan sát giá trị dropdown quyền truy cập",,"- Khi người dùng chuyển lại luồng “Bất kỳ ai có đường liên kết”, dropdown quyền truy cập phải hiển thị giá trị mặc định là “Người xem”
- Hệ thống không lưu trạng thái quyền chỉnh sửa từ phiên modal trước đó",,,,M,Thư viện,Ðã hoàn thành,,31/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
65,Thay đổi lần đầu quyền truy cập chung “Bất kỳ ai có quyền truy cập” hiển thị thông báo “Thao tác thất bại”,"Tại modal Chia sẻ, khi người dùng thực hiện thay đổi quyền truy cập trong luồng “Bất kỳ ai có quyền truy cập” (dropdown “Người xem / Người chỉnh sửa / Người nhận xét”) ở lần thao tác đầu tiên, hệ thống hiển thị thông báo lỗi “Thao tác thất bại”. Sau khi thao tác lại (thực hiện thay đổi lần 2), hành vi có thể hoạt động bình thường","1. Mở modal Chia sẻ của một folder/file
2. Chọn “Bất kỳ ai có quyền truy cập”
3. Tại dropdown quyền truy cập, thay đổi từ “Người xem” → “Người chỉnh sửa” (hoặc ""Người nhận xét"")
4. Quan sát phản hồi của hệ thống",,"- Hệ thống cập nhật thành công quyền truy cập ngay ở lần thao tác đầu tiên
- Không hiển thị thông báo lỗi
- Thông tin quyền truy cập được cập nhật và hiển thị đúng tương ứng với lựa chọn mới",,,,M,Thư viện,Ðã hoàn thành,,31/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
66,"Dropdown tại danh sách ""Những người có quyền truy cập"" chỉ nhận giá trị khi click đúng vào text","Tại modal Chia sẻ, khi thay đổi quyền truy cập trong dropdown, thao tác click ngoài vùng text khiến dropdown đóng lại nhưng không cập nhật giá trị","1. Mở modal Chia sẻ
2. Tại mục “Bất kỳ ai có quyền truy cập”, mở dropdown quyền truy cập
3. Click vào vùng trống ngoài text của tùy chọn và quan sát ",,"- Khi click vào vùng trống (ngoài text), dropdown đóng lại nhưng không cập nhật giá trị mới
- Chỉ khi click chính xác vào text, giá trị mới được ghi nhận",,,,M,Thư viện,Ðã hoàn thành,,31/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
67,Không chia sẻ được nội dung trong folder cấp 2 - người nhận chỉ nhận được thư mục rỗng,"Khi người dùng thực hiện chia sẻ folder cấp 2 (thư mục có chứa file hoặc thư mục con), thao tác chia sẻ hiển thị thành công ở phía người gửi. Tuy nhiên, ở phía người nhận, thư mục được chia sẻ chỉ hiển thị tên nhưng không có bất kỳ file hoặc nội dung nào bên trong","1. Đăng nhập tài khoản A (người chia sẻ), truy cập Thư viện của tôi tab Được tạo bởi tôi
2. Mở folder cấp 2 có chứa file hoặc thư mục con
3. Thực hiện Chia sẻ folder này cho tài khoản B
4. Đăng nhập tài khoản B (người nhận)
5. Truy cập Thư viện của tôi → Được chia sẻ 
6. Quan sát thư mục được chia sẻ",,"- Người nhận (tài khoản B) nhận được đầy đủ nội dung bên trong folder cấp 2 mà người gửi chia sẻ, bao gồm các file và thư mục con
- Hệ thống đồng bộ đầy đủ dữ liệu giữa hai phía (người chia sẻ và người nhận)",,,,H,Thư viện,Ðã hoàn thành,1 🤥,31/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
68,Luồng chia sẻ không ghi nhận kết quả ở lần thực hiện đầu tiên (dù hiển thị thành công),"Khi người dùng thực hiện chia sẻ folder/file lần đầu tiên, hệ thống hiển thị thông báo “Chia sẻ thành công”, tuy nhiên:
+ TK chia sẻ, thao tác thực tế không được ghi nhận - thông tin quyền truy cập không được lưu, số lượng quyền truy cập không thay đổi
+ TK nhận, không nhận được nội dung chia sẻ trong mục “Được chia sẻ”
Sau khi đóng modal và thực hiện lại thao tác chia sẻ lần 2, chia sẻ mới thực sự có hiệu lực","1. Truy cập Thư viện của tôi tab Được tạo bởi tôi
2. Chọn một folder/file → mở modal Chia sẻ
3. Thêm tài khoản người nhận → Nhấn Gửi
4. Quan sát thông báo hiển thị “Chia sẻ thành công”
5. Kiểm tra lại cột Quyền truy cập và modal Chia sẻ (không cập nhật thông tin)
6. Đăng nhập tài khoản người nhận → kiểm tra “Được chia sẻ” (không có dữ liệu)
7. Thực hiện lại thao tác chia sẻ lần 2 → kiểm tra lại kết quả (chia sẻ thành công)",,"- Hệ thống ghi nhận và xử lý chia sẻ thành công ngay từ lần đầu tiên
- Thông tin quyền truy cập được lưu và hiển thị chính xác ở phía người chia sẻ
- Người nhận nhận được và truy cập được nội dung chia sẻ
- Thông báo “Chia sẻ thành công” phản ánh đúng trạng thái thực tế của thao tác",,,,H,Thư viện,Ðã hoàn thành,1 🤥,31/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
69,"Khi xóa folder đã được chia sẻ, người nhận vẫn giữ lại thư mục rỗng","Khi người chia sẻ (tài khoản A) thực hiện xóa một folder đã được chia sẻ cho người khác (tài khoản B):
+ TK chia sẻ, folder bị xóa khỏi “Thư viện của tôi”
+ TK nhận, folder vẫn còn hiển thị trong “Được chia sẻ”, nhưng bên trong không có file hoặc thư mục con nào","1. Đăng nhập tài khoản A (người chia sẻ)
2. Chia sẻ một folder chứa file cho tài khoản B
3. Sau khi chia sẻ thành công, tài khoản A xóa folder đó
4. Đăng nhập tài khoản B (người nhận) → truy cập “Được chia sẻ”
5. Kiểm tra folder vừa bị xóa",,"- Khi người chia sẻ xóa folder: Folder cần được xóa hoặc ẩn hoàn toàn khỏi danh sách của người nhận
- Dữ liệu hiển thị giữa người chia sẻ và người nhận phải được đồng bộ trạng thái xóa",,,,M,Thư viện,Ðã hoàn thành,,31/10/2025,04/11/2025,,Hoa,Trịnh Trần Phương Chiến,
70,"Khi xóa file đã được chia sẻ, người nhận vẫn thấy file nhưng không thể mở - hiển thị overlay xám","Khi người chia sẻ (tài khoản A) xóa một file đã được chia sẻ cho tài khoản B:
- TK chia sẻ, file được xóa khỏi “Thư viện của tôi”
- TKi nhận, file vẫn hiển thị trong danh sách “Được chia sẻ”, click mở → màn hình hiển thị overlay xám, không có thông báo rõ ràng như “File đã bị xóa” hoặc “Không thể xem file này”","1. Đăng nhập tài khoản A (người chia sẻ)
2. Chia sẻ một file ảnh cho tài khoản B
3. Sau khi chia sẻ thành công, tài khoản A xóa file đó
4. Đăng nhập tài khoản B → truy cập “Được chia sẻ”
5. Click mở file được chia sẻ",,"- Khi file bị xóa bởi người chia sẻ: File cần được ẩn hoặc xóa khỏi danh sách “Được chia sẻ” của người nhận
- Dữ liệu và trạng thái hiển thị giữa hai phía cần được đồng bộ hoàn toàn",,,,L,Thư viện,Ðã hoàn thành,,31/10/2025,04/11/2025,,Hoa,Trịnh Trần Phương Chiến,
71,Modal tạo phiếu/bài giảng không đóng đồng thời khi điều hướng tới tool - vẫn hiển thị modal và trạng thái loading sau khi chuyển trang,"Tại màn hình chính Thư viện, khi người dùng thực hiện tạo phiếu hoặc bài giảng, hệ thống điều hướng thành công sang tool soạn nội dung. Tuy nhiên, modal tạo nội dung cùng với trạng thái loading vẫn hiển thị đè lên giao diện và đóng trễ vài giây sau khi đã điều hướng","1. Truy cập Thư viện của tôi tab Được tạo bởi tôi
2. Click Tạo mới → Tạo phiếu hoặc Tạo bài giảng
3. Nhập thông tin hợp lệ → Xác nhận Tạo mới
4. Quan sát quá trình điều hướng sang tool tạo nội dung ",,"- Khi điều hướng sang tool thành công, modal tạo nội dung và trạng thái loading phải được đóng đồng thời
- Giao diện cần hiển thị mượt và đồng bộ, không để modal hoặc overlay loading hiển thị sau khi đã điều hướng",,,,L,Thư viện,Ðã hoàn thành,,31/10/2025,04/11/2025,,Hoa,Trịnh Trần Phương Chiến,
72,Được chia sẻ | Breadcrumb không điều hướng được khi quay lại thư mục cấp trên ,"Khi sử dụng thanh breadcrumb để quay lại các cấp thư mục trước, hệ thống không thực hiện điều hướng tương ứng","1. Truy cập vào Thư viện của tôi
2. Lần lượt mở các thư mục để đến thư mục cấp 3
3. Quan sát thanh breadcrumb hiển thị dạng:
Tất cả files / Thư mục cấp 1 / Thư mục cấp 2 / Thư mục cấp 3
4. Click vào tên Thư mục cấp 2 trong breadcrumb để quay lại cấp 2",,Hệ thống điều hướng và hiển thị danh sách nội dung trong Thư mục cấp 2 tương ứng.,,,,M,Thư viện,Ðã hoàn thành,,03/11/2025,04/11/2025,,Hoa,Trịnh Trần Phương Chiến,
73,Kết quả tìm kiếm không đầy đủ khi danh sách chưa được scroll toàn bộ,"Khi thực hiện tìm kiếm tại ô search, hệ thống chỉ trả về kết quả tương ứng với các mục hiển thị ban đầu trên màn hình (chưa được scroll), dẫn đến kết quả tìm kiếm không chính xác hoặc thiếu dữ liệu","1. Truy cập vào màn hình Thư viện của tôi 
2. Cuộn (scroll) danh sách một phần, sao cho chỉ một số mục đầu được tải lên giao diện
3. Thực hiện nhập từ khóa vào ô Search
4. Quan sát kết quả hiển thị",,"Hệ thống cần thực hiện tìm kiếm trên toàn bộ dữ liệu hiện có, bao gồm cả các mục chưa hiển thị trên màn hình do chưa scroll tới",,,,M,Thư viện,Pending,,03/11/2025,,Cần BE cấu hình,Hoa,Trịnh Trần Phương Chiến,
74,Không đồng nhất quy tắc chuẩn hóa tên giữa folder và file,"Khi người dùng tạo mới một folder và một file cùng tên “Bài 1”, hệ thống thực hiện chuẩn hóa tên không đồng nhất:
+ Folder được chuẩn hóa thành: bài_1
+ File được chuẩn hóa thành: bai_1","1. Truy cập Thư viện của tôi 
2. Thực hiện Tạo thư mục mới, nhập tên: Bài 1
3. Thực hiện Tạo bài giảng/phiếu bài tập mới, nhập tên: Bài 1
4. Quan sát tên thực tế hiển thị ",,"Cả hai loại đối tượng (folder và file) cần sử dụng chung quy tắc chuẩn hóa tên:
+ Hoặc đều loại bỏ dấu tiếng Việt (bai_1)
+ Hoặc đều giữ dấu tiếng Việt (bài_1)",,,,L,Thư viện,Ðã hoàn thành,,03/11/2025,04/11/2025,"Tạm thời sẽ cấu hình để tên giống file
tên sẽ để ở dạng không có dấu câu và không có dấu cách (dấu cách để chuyển về dạng slug)
vd: bai_giang_1",Hoa,Trịnh Trần Phương Chiến,
75,URL của folder được chia sẻ không được reset sau khi truy cập,"Khi người dùng truy cập vào folder được chia sẻ thông qua URL, hệ thống vẫn duy trì trạng thái truy cập chia sẻ này ngay cả khi người dùng điều hướng sang tab khác hoặc reload (F5)
Hành vi này khiến giao diện và URL không được reset về mặc định, dẫn đến việc người dùng luôn ở trong chế độ xem chia sẻ và phải thao tác thủ công (ví dụ: click “Tất cả files”) mới thoát được","1. Đăng nhập tk A, thực hiện sao chép đường liên kết folder muốn chia sẻ 
2. Tại tài khoản B, dán trực tiếp URL vào thanh địa chỉ, ví dụ:
3. Quan sát: hệ thống hiển thị đúng nội dung của folder được chia sẻ
4. Thao tác chuyển qua các tab: Được tạo bởi tôi, Bộ sưu tập của tôi, Được chia sẻ
5. Quan sát URL hiển thị khi:
- Thực hiện F5 (reload) trang
- Click ""Tất cả files"" tại thanh breadcrumb tab Được chia sẻ ",,"- Sau khi người dùng rời khỏi chế độ xem chia sẻ (chuyển tab, reload,...
→ Hệ thống cần reset URL về mặc định, ví dụ:
https://social-beta.edulive.net/quan-tri/thu-vien-cua-toi
- Sau khi reset, giao diện cần hiển thị đúng nội dung thư viện gốc tương ứng với quyền của người dùng, không còn ở chế độ xem chia sẻ
- Hành vi điều hướng giữa các tab hoặc làm mới trang không được giữ trạng thái chia sẻ ngoài ngữ cảnh",,,,M,Thư viện,Ðã hoàn thành,,05/11/2025,05/11/2025,,Hoa,Trịnh Trần Phương Chiến,
76,Không thể tạo bản sao đối với file con nằm trong folder được chia sẻ ,"Khi mở folder được chia sẻ và thực hiện thao tác ""Tạo bản sao"" đối với file con bên trong, hệ thống không cho phép tạo bản sao 
Chức năng chỉ hoạt động nếu file đó được chia sẻ trực tiếp, không nằm trong folder được chia sẻ","1. A chia sẻ một folder cho tài khoản B 
2. Tài khoản B truy cập vào thư mục được chia sẻ
3. Trong folder đó, chọn một file con bất kỳ
4. Thực hiện ""Tạo bản sao"" cho file đã chọn
5. Điều hướng đến tab “Được tạo bởi tôi”
6. Thực hiện Ctrl + V để dán (paste) file vừa sao chép vào vị trí mong muốn
7. Quan sát hành vi hệ thống",,"- Hệ thống cho phép tạo bản sao của file con trong thư mục được chia sẻ
- Khi thực hiện thao tác “Tạo bản sao” → Ctrl + V, file mới được dán thành công trong tab “Được tạo bởi tôi” của người nhận chia sẻ
- File bản sao hiển thị đầy đủ nội dung gốc (tên mặc định có thể kèm hậu tố “- bản sao”)
- Hệ thống hiển thị thông báo thành công, không xảy ra lỗi, treo thao tác hoặc mất phản hồi UI",,,,M,Thư viện,Pending,,12/11/2025,,sẽ thống nhất lại với đội product,Hoa,Trịnh Trần Phương Chiến,
77,"Hệ thống không tự khởi tạo URL khi sao chép liên kết lần đầu, cần đổi quyền truy cập thủ công để khởi tạo url ","Khi muốn chia sẻ một file bằng liên kết, hệ thống không tự khởi tạo URL chia sẻ nếu trạng thái truy cập hiện tại chưa được bật sang “Bất kỳ ai có đường liên kết”
- Ở lần thao tác đầu tiên, nếu người dùng bấm “Sao chép đường liên kết”, hệ thống trả về chuỗi rỗng thay vì một URL hợp lệ
- Buộc phải thực hiện thêm thao tác thủ công: chuyển quyền truy cập → “Bất kỳ ai có đường liên kết”, sau đó mới nhận được URL thực sự","1. File chưa có trạng thái chia sẻ 
2. Người dùng nhấn “Sao chép đường liên kết”
3. Nhấn Ctrl+V để kiểm tra url trả về: chuỗi rỗng (empty string)
4. Chuyển thủ công trạng thái truy cập → “Bất kỳ ai có đường liên kết”
5. Nhấn Ctrl+V để kiểm tra url trả về: url hợp lệ có thể truy cập được file chia sẻ ",,Hệ thống tự động khởi tạo URL chia sẻ hợp lệ ngay lập tức mà không cần thực hiện thêm các thao tác thủ công khác ,,,,H,Thư viện,Ðã hoàn thành,,12/11/2025,13/11/2025,,Hoa,Trịnh Trần Phương Chiến,
78,"Không thể tải tệp phía người nhận khi file nằm trong folder được chia sẻ, dù người nhận vẫn xem được file","Khi tài khoản B được chia sẻ một folder, B có thể mở và xem các file bên trong nhưng không thể tải xuống những file này. Nút tải hoặc thao tác tải không có phản hồi, trong khi với file được chia sẻ trực tiếp thì tải bình thường","1. Tài khoản A chia sẻ một folder cho tài khoản B
2. Tài khoản B mở folder được chia sẻ
3. Chọn một file bất kỳ bên trong
4. Thực hiện thao tác Tải xuống tệp
5. Quan sát hành vi",,"Người nhận có thể tải xuống bất kỳ file nào bên trong folder được chia sẻ, tương tự như khi file được chia sẻ trực tiếp",,,,H,Thư viện,Ðã hoàn thành,,12/11/2025,13/11/2025,,Hoa,Trịnh Trần Phương Chiến,
79,Người nhận link share của folder con cấp 2 có thể truy cập cả các thư mục/file ở cấp cha hoặc cùng cấp dù không được chia sẻ,"Khi người gửi chia sẻ một folder con (ví dụ: cấp 2), hệ thống chỉ nên cho phép người nhận truy cập duy nhất nội dung của folder được chia sẻ.
Tuy nhiên, khi người nhận truy cập qua đường link, có thể điều hướng về các folder cha hoặc folder nằm ngang cấp, dẫn đến truy cập vượt quyền (privilege escalation) và rò rỉ dữ liệu không được phép chia sẻ","1. Tài khoản A có cấu trúc thư mục:
    Folder cấp 1
        Folder cấp 2
            File / thư mục con
2. A chỉ chia sẻ Folder cấp 2 cho tài khoản B bằng link
3. Tài khoản B mở link để truy cập Folder cấp 2
4. Tại giao diện Thư viện của tôi tab Được tạo bởi tôi, quan sát thanh breadcrumb 
5. Thực hiện thao tác điều hướng tại thanh breadcrumb 
6. Quan sát hành vi hệ thống",,"- Người nhận chỉ được phép truy cập đúng folder đã được chia sẻ
- Không thể truy cập:
  + Folder cha (parent folders)
  + Folder cùng cấp (siblings)
  + Bất kỳ tài nguyên nào ngoài phạm vi được chia sẻ
- Breadcrumb hiển thị chính xác ",,,,H,Thư viện,Ðã hoàn thành,,12/11/2025,13/11/2025,,Hoa,Trịnh Trần Phương Chiến,
80,"Folder có tên chứa chuỗi đuôi file hiển thị đúng ở người tạo nhưng khi chia sẻ cho tài khoản khác, hệ thống chuẩn hoá và nhận diện thành file thay vì folder","Khi người dùng tạo một folder với tên chứa chuỗi trùng đuôi file, thư mục hiển thị chính xác ở giao diện của người tạo
Tuy nhiên, khi folder này được chia sẻ cho tài khoản khác:
- Hệ thống hiển thị folder như một file
- Icon, loại đối tượng và hành vi đều bị map sai
⇒ Người nhận không mở được folder dưới dạng thư mục","1. Mở màn hình Thư viện của tôi tab Được tạo bởi tôi
2. Tạo một folder mới với tên:
  + “h”
  + “c”
  + “folder.mp3”
  + “abc.mp4”
3. Thực hiện chia sẻ folder tới tài khoản khác và quan sát folder hiển thị tại danh sách Được chia sẻ tài khoản người nhận",,"- Folder phải hiển thị đúng loại đối tượng ở tất cả tài khoản, bao gồm cả khi xem qua chế độ Được chia sẻ
- Không được parse folderName theo đuôi file
- Metadata phải đồng nhất giữa người tạo và người nhận",,,,H,Thư viện,Pending,,13/11/2025,,cần BE can thiệp,Hoa,Trịnh Trần Phương Chiến,
81,Tạo bài giảng mới không hiển thị ngay trong danh sách; cần reload trang để cập nhật,"- Sau khi người dùng tạo mới một bài giảng và hệ thống trả về trạng thái thành công, danh sách bài giảng không được cập nhật ngay lập tức
- Bài giảng mới không xuất hiện trong danh sách hiện tại cho đến khi người dùng thực hiện thủ công thao tác refresh trang (F5) hoặc điều hướng sang màn hình khác rồi quay lại","1. Truy cập màn hình Thư viện của tôi, bộ lọc Bài giảng 
2. Nhấn Tạo bài giảng → Thực hiện tạo bài giảng hợp lệ 
3. Quan sát danh sách bài giảng ngay sau khi tạo xong
4. Thực hiện Reload (F5) hoặc chuyển sang màn khác rồi quay lại danh sách
5. So sánh việc hiển thị bài giảng mới trước và sau khi reload",,"Danh sách bài giảng phải đồng bộ ngay lập tức sau thao tác tạo mới, hiển thị đúng item vừa tạo mà không cần reload trang",,,,M,Thư viện,Ðã hoàn thành,,18/11/2025,20/11/2025,,Hoa,Trịnh Trần Phương Chiến,
82,UI/UX Lớp học của tôi ,"1. Màn hình hiển thị khi mở modal Thêm Học Sinh: avatar / nút / tooltip phía sau “lọt” lên trên modal
- Khi danh sách học sinh lớn, thao tác trong modal bị click vào nội dung phía sau
2. Luồng điều hướng sai khi mở Danh sách học sinh từ màn Chi tiết nhiệm vụ
3. Số lượng hiển thị tại sidebar (Nhiệm vụ) không cập nhật ngay sau khi tạo thành công nhiệm vụ mới, cần phải F5 thủ công 
- Danh sách học sinh 
4. Student Card Action Menu không tự động đóng sau khi sửa tên 
5. hạn nộp bài 
6. đăng xuát tại màn hình bài giagrn ",,,,,,,M,Lớp học,Đang thực hiện,,20/11/2025,,,Hoa,Trịnh Trần Phương Chiến,
83,Lớp mới tạo hiển thị nội dung của lớp khác,"- Khi người dùng tạo một lớp học mới, sau khi tạo thành công hệ thống điều hướng về màn hình chi tiết lớp. Theo nghiệp vụ, vì đây là lớp mới → danh sách nội dung phải trống hoàn toàn
- Tuy nhiên, hệ thống lại hiển thị nội dung của lớp học khác (hoặc danh sách chung), không đúng với lớp vừa tạo","1. Truy cập màn hình Lớp học của tôi
2. Nhấn Tạo lớp học
3. Nhập thông tin Tên lớp → click Lưu
4. Hệ thống chuyển đến màn hình lớp mới tạo
5. Quan sát danh sách nội dung hiển thị",,"- Danh sách nội dung của lớp học mới phải trống hoàn toàn
- Không hiển thị dữ liệu của lớp khác ",,,,H,Lớp học,Ðã hoàn thành,,20/11/2025,21/11/2025,,Hoa,Trịnh Trần Phương Chiến,
84,Học sinh tham gia lớp học đã tham gia trước đó nhưng hệ thống không hiển thị thông báo,"Khi học sinh thực hiện thao tác tham gia một lớp học mà học sinh đó đã có trong danh sách thành viên của lớp, hệ thống vẫn cho phép bấm nút “Tham gia” nhưng không hiển thị bất kỳ phản hồi hay thông báo nào.","1. Đăng nhập bằng tài khoản hs1
2. Tham gia thành công vào lớp học Test 2111 
3. Thực hiện tham gia lại cùng lớp đó 
4. Quan sát phản hồi của hệ thống",,"Khi học sinh đã là thành viên của lớp:
- Hệ thống phải chặn thao tác hoặc ẩn nút Tham gia.
- Hoặc hiển thị thông báo rõ ràng, ví dụ: “Bạn đã là thành viên của lớp học này” / “Bạn đã tham gia lớp này trước đó”",,,,M,Lớp học,Ðã hoàn thành,,21/11/2025,21/11/2025,,Hoa,Trịnh Trần Phương Chiến,
85,Lỗi đổi tên lớp học ,Tên test: test 2111 (3) dhaof jdue ufu ìsđfgdgfdgfđfdfg5464545(*()*()%$!@!@@##1,"1. Truy cập màn hình Lớp học của tôi 
2. Chọn 1 lớp bất kỳ và thực hiện Đổi tên 
3. Nhập tên mới vào trường nhập 
4. Click Lưu và quan sát phản hồi của hệ thống ",test 2111 (3) dhaof jdue ufu ìsđfgdgfdgfđfdfg5464545(*()*()%$!@!@@##1,Không cho phép chỉnh sửa ,,,,M,Lớp học,Ðã hoàn thành,,21/11/2025,25/11/2025,,Hoa,Trịnh Trần Phương Chiến,
86,Tên lớp không cập nhật tại Page Header sau khi đổi tên thành công - Không đồng bộ giữa Sidebar và Header ,"Sau khi đổi tên lớp học thành công, hệ thống không cập nhật tên mới tại thanh tiêu đề (header), chỉ cập nhật tại sidebar nhưng phần tiêu đề phía trên vẫn giữ tên cũ, gây không đồng bộ giao diện","1. Truy cập màn hình Lớp học của tôi
2. Thực hiện đổi tên lớp 
3. Lưu thay đổi thành công
4. Quan sát tên lớp hiển thị tại header, sidebar ",,"- Thanh tiêu đề phải cập nhật ngay lập tức tên lớp mới sau khi đổi tên thành công
- Toàn bộ giao diện đồng bộ với dữ liệu mới",,,,M,Lớp học,Ðã hoàn thành,,21/11/2025,25/11/2025,,Hoa,Trịnh Trần Phương Chiến,
87,Nút Hủy tại modal Giao bài tập không reset lựa chọn sau khi đóng,"Khi chọn nội dung và chuyển sang modal Giao bài tập, nếu nhấn Hủy, hệ thống không reset lựa chọn. Mở lại modal Thêm nội dung thì mục đã chọn vẫn giữ trạng thái chọn","1. Truy cập màn hình Lớp học của tôi
2. Thực hiện Giao bài tập: click Giao bài tập > Chọn từ thư viện
3. Tại modal Thêm nội dung: chọn nội dung muốn thêm > click Thêm 
4. Tại modal Giao bài tập: click Hủy 
5. Mở lại modal Thêm nội dung và quan sát danh sách lựa chọn",,"- Khi nhấn Hủy, hệ thống phải reset toàn bộ lựa chọn
- Khi mở lại modal Thêm nội dung, tất cả nội dung phải ở trạng thái chưa chọn",,,,M,Lớp học,Chưa thực hiện,,25/11/2025,,,Hoa,Trịnh Trần Phương Chiến,
88,Lỗi tạo kênh của tôi,"Khi người dùng thao tác tạo kênh mới tại Kênh của tôi, sau khi nhập đầy đủ thông tin và nhấn Lưu, hệ thống không có bất kỳ phản hồi nào (không loading, không thông báo lỗi,...)","1. Truy cập màn hình Kênh của tôi 
2. Nhập thông tin hợp lệ để tạo kênh 
3. Click Lưu
4. Quan sát hành vi hệ thống ",,"- Kênh được tạo thành công, hiển thị thông báo và điều hướng tới màn hình kênh sau khi được tạo 
- Nếu tạo thất bại cần đưa ra thông báo lỗi tương ứng ",,,,M,Kênh của tôi,Ðã hoàn thành,,01/12/2025,02/12/2025,,Hoa,Trịnh Trần Phương Chiến,
89,Luồng tạo nội dung bằng AI blocked - preview ,"- Khi thực hiện bước Preview cuối cùng, hệ thống không tải nội dung ở lần mở đầu, modal trống. Cần phải đóng và mở Preview lại thì nội dung mới hiển thị, nhưng chỉ load được trang đầu tiên, các trang sau không render
- Thực hiện Lưu content, hệ thống không lưu bài, giao diện không có bất kỳ phản hồi nào. Quay lại màn hình Thư viện, bài vẫn được tạo trong danh sách nhưng không thể mở và trả lỗi “Failed to fetch code: 400”
- Ngoài ra, tại tab Bài giảng, khi mở bài và hệ thống chuyển sang Tool để xem thì nội dung cũng không load xem được bài ","1. Truy cập Thư viện của tôi > Tạo mới > Tạo nội dung bằng AI > Tạo bài giảng bằng AI
2. Nhập thông tin hợp lệ vào form tạo kế hoạch bài giảng > click Bắt đầu tạo kế hoạch bài giảng 
3. Nhấn Tạo kế hoạch thời gian > Tạo kịch bản > Tạo slide mẫu > Hướng dẫn > Preview 
4. Click Lưu
...",,,,,,M,Thư viện,Pending,,01/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
90,Lỗi tạo bản sao ,"- Hệ thống chỉ cho phép tạo bản sao (Duplicate/Copy) đối với các file được chia sẻ trực tiếp
- Đối với file nằm bên trong một folder đã được chia sẻ, thao tác tạo bản sao không thực hiện được- ","1. Thực hiện chia sẻ một file cho người dùng khác 
2. Tại tài khoản người nhận, thực hiện Tạo bản sao cho file tới vị trí mong muốn và quan sát kết quả 
3. Chia sẻ một folder cho người dùng khác 
4. Trong folder đã được chia sẻ, chọn một file con bất kỳ
5. Thực hiện thao tác Tạo bản sao cho file tới vị trí mong muốn và quan sát kết quả 
6. So sánh kết quả nhận được từ bước 2 và bước 5",,Hệ thống phải cho phép tạo bản sao cho cả file được chia sẻ trực tiếp và file nằm trong folder được chia sẻ,,,,M,Thư viện,Chưa thực hiện,,02/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
91,Lỗi xem/preview file ảnh có định dạng .tiff ,"Khi người dùng mở xem trước (preview) file ảnh định dạng TIFF (.tiff), hệ thống không hiển thị nội dung hình ảnh","1. Đăng nhập tài khoản bất kỳ
2. Truy cập màn hình Thư viện của tôi tab Được tạo bởi tôi 
3. Upload thành công một file ảnh có đuôi .tiff
4. Nhấn mở file để xem preview",,"- Hệ thống hỗ trợ xem file ảnh định dạng TIFF (.tiff)
- Nội dung ảnh được hiển thị đầy đủ và rõ ràng trong màn hình preview",,,,L,Thư viện,Thực hiện lại,,02/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
92,Ảnh đại diện và ảnh nền của kênh không hiển thị ngay sau khi tạo kênh,"Khi người dùng tạo một kênh mới và chuyển hướng tới màn hình chi tiết của kênh vừa tạo, phần ảnh đại diện và ảnh nền không được render ngay lập tức. UI hiển thị trạng thái trống hoặc placeholder mặc dù dữ liệu đã được upload đầy đủ trong quá trình tạo kênh","1. Truy cập màn hình Kênh của tôi.
2. Thực hiện Tạo kênh mới: nhập các thông tin cần thiết và upload:
- Ảnh đại diện
- Ảnh nền 
3. Hệ thống điều hướng sang màn hình chi tiết của kênh vừa tạo",,"- Ngay khi kênh được tạo và điều hướng tới màn hình kênh mới, ảnh đại diện và nền phải hiển thị đầy đủ
- Không cần reload trang
- UI đồng bộ đúng với dữ liệu vừa được tạo",,,,M,Kênh của tôi,Thực hiện lại,,02/12/2025,,,Hoa,Trịnh Trần Phương Chiến,
